trial,val_accuracy,val_recall,val_precision,val_f1,val_auc,hidden_sizes,n_layers,n_units_l0,n_units_l1,n_units_l2,activation,learning_rate,alpha,batch_size,n_units_l3
0,0.9172870140612076,0.8879310344827587,0.7923076923076923,0.8373983739837398,0.9475090052906082,"[64, 128, 64]",3,64,128,64.0,tanh,0.0005418282319533242,7.476312062252308e-06,64,
1,0.9230769230769231,0.8706896551724138,0.8198051948051948,0.8444816053511706,0.9632063524820832,"[128, 512, 64]",3,128,512,64.0,relu,0.00069389014127394,1.2681352169084602e-06,64,
2,0.9156327543424317,0.8586206896551725,0.8032258064516129,0.83,0.9575194176578741,"[384, 64]",2,384,64,,relu,0.0003570478920909981,1.4656553886225336e-05,128,
3,0.8354987022617725,0.803448275862069,0.8132635253054101,0.808326105810928,0.951451634085025,"[512, 384]",2,512,384,,tanh,0.00013359790328445562,1.1895896737553559e-05,128,
4,0.9181141439205955,0.8655172413793103,0.8070739549839229,0.8352745424292846,0.966145266594124,"[384, 64]",2,384,64,,tanh,0.0006901506581791928,3.69997243146381e-05,64,
5,0.9102564102564102,0.8568965517241379,0.7876386687797148,0.8208092485549133,0.9456601065626055,"[384, 128]",2,384,128,,tanh,0.0023603276001278105,7.947147424653738e-05,64,
6,0.9152191894127378,0.8793103448275862,0.7906976744186046,0.8326530612244898,0.9555893775092867,"[256, 384, 64, 64]",4,256,384,64.0,relu,0.000267775333103133,3.10274095091284e-05,64,64.0
7,0.887636405122501,0.8293103448275863,0.7990033222591362,0.8138747884940778,0.9497378147161457,"[384, 256, 64]",3,384,256,64.0,relu,0.0001423638128723575,0.0003205586399070753,64,
8,0.8772915775362939,0.8241379310344827,0.802013422818792,0.8129251700680272,0.9570921353795354,"[64, 384, 256]",3,64,384,256.0,tanh,0.0008775452610882307,3.88107231640948e-05,256,
9,0.7168882804255441,0.753448275862069,0.7803571428571429,0.7666666666666667,0.9430551386439534,"[512, 64, 64, 384]",4,512,64,64.0,tanh,0.00025297586129952536,9.466710461838324e-06,256,384.0
10,0.8149488035138759,0.7948275862068965,0.8073555166374781,0.8010425716768028,0.9529928520505797,"[128, 512, 384, 128]",4,128,512,384.0,relu,0.004271906202534829,1.0780208926613587e-06,128,128.0
11,0.9181141439205955,0.8482758620689655,0.8172757475083057,0.8324873096446701,0.9528183745450451,"[128, 512]",2,128,512,,relu,0.0012835881603026887,1.5975733355432398e-06,64,
12,0.9065343258891646,0.853448275862069,0.7783018867924528,0.8141447368421053,0.9479986679674309,"[128, 512, 512]",3,128,512,512.0,relu,0.0012113873672726662,0.000206534415428273,64,
13,0.8199115826702034,0.7948275862068965,0.8246869409660107,0.8094820017559262,0.9605863757457505,"[256, 64]",2,256,64,,tanh,0.0005351298210596077,2.93326553596602e-06,64,
14,0.9119106699751861,0.843103448275862,0.8003273322422259,0.8211586901763224,0.9539065138268734,"[128, 256, 128]",3,128,256,128.0,tanh,0.0017623412865457584,0.0007870708682262795,256,
15,0.8834950514817034,0.8241379310344827,0.8227194492254734,0.8234280792420328,0.9564420659637538,"[384, 512]",2,384,512,,relu,0.000748123231874601,9.198918809292755e-05,64,
16,0.9073614557485525,0.8637931034482759,0.7755417956656346,0.8172920065252854,0.9459931147048892,"[128, 64, 128, 512]",4,128,64,128.0,tanh,0.002656954434913705,4.502306380924622e-06,64,512.0
17,0.9193548387096774,0.8620689655172413,0.8130081300813008,0.8368200836820083,0.9580142396157743,"[384, 64, 256]",3,384,64,256.0,relu,0.00043218811424170194,3.0914100628853716e-05,64,
18,0.913151364764268,0.853448275862069,0.7983870967741935,0.825,0.9535969569622154,"[512, 512, 256]",3,512,512,256.0,relu,0.00036196985276616635,3.1057508155119937e-06,256,
19,0.913564929693962,0.8827586206896552,0.7840735068912711,0.8304947283049473,0.9426658474353683,"[256, 128, 256]",3,256,128,256.0,relu,0.00020323923366025702,0.0006207753616215764,128,
20,0.8539807763611992,0.8120689655172414,0.8120689655172414,0.8120689655172414,0.9568918614686127,"[64, 256, 384]",3,64,256,384.0,relu,0.0004553935572836754,2.0869863255051765e-05,64,
21,0.9185277088502894,0.8448275862068966,0.8207705192629816,0.832625318606627,0.9613443210386101,"[384, 64]",2,384,64,,relu,0.0009266169576990336,6.951367852683801e-05,64,
22,0.9139784946236559,0.8637931034482759,0.7952380952380952,0.828099173553719,0.9533816742336122,"[384, 64, 512]",3,384,64,512.0,relu,0.001175177439632188,0.00011319688443038146,64,
